"SEX","n","island","ID","tripID","n_locs","departure","return","duration","total_dist","max_dist","direction","Mean_Depth","Median_Depth","SD_Depth","Max_Depth","Min_Depth","Source","Island"
"F","1","MS","SL1","SL1_01","724","2022-09-21 16:22:30","2022-09-21 18:26:12","2.06166666666667","69.5795030817384","28.5140153791066","172.697892442689",1.14540509455935,1.1586479151246,0.341212376994419,8.32963237108316,0.741179373303725,"SP","SP"
"F","1","MS","SL1","SL1_01","724","2022-09-21 16:22:30","2022-09-21 18:26:12","2.06166666666667","69.5795030817384","28.5140153791066","172.697892442689",1.14674758346931,1.14976560572416,0.083571966874282,1.5840118430792,0.946459412780659,"MS","MS"
"F","2","MS","SL1","SL1_02","847","2022-09-22 10:17:30","2022-09-22 12:48:51","2.5225","97.8176524182013","30.7448955607165","324.525186042493",1.2190212055411,1.21194177152726,0.174113596044348,4.35134468295089,0.916851714779172,"SP","SP"
"F","2","MS","SL1","SL1_02","847","2022-09-22 10:17:30","2022-09-22 12:48:51","2.5225","97.8176524182013","30.7448955607165","324.525186042493",0.919189103295153,0.958302491981252,0.57720817121162,16.2457438934123,-0.682950900567477,"MS","MS"
"F","3","MS","SL1","SL1_03","493","2022-09-22 15:37:20","2022-09-22 17:04:19","1.44972222222222","53.9954947369194","23.9271369578592","169.840817239706",0.641610226366766,0.639526276831978,0.0888699857133891,0.876387860843819,0.399703923019981,"MS","MS"
"F","4","MS","SL1","SL1_04","678","2022-09-23 08:37:50","2022-09-23 10:35:41","1.96416666666667","83.4384826616602","31.019317696734","323.970925318647",1.24160187253406,1.28694793979768,0.236697453243401,4.81717246484085,0.296076980014804,"MS","MS"
"F","5","MS","SL1","SL1_05","709","2022-09-24 03:53:51","2022-09-24 05:54:01","2.00277777777778","84.1370179163308","29.9990005488517","323.810536392498",2.21396259783538,2.22156427337774,0.0896314144517047,2.46829509005675,1.85442881815938,"MS","MS"
"F","6","MS","SL10","SL10_01","765","2022-09-22 09:00:00","2022-09-22 11:08:30","2.14166666666667","76.7211195704851","19.3819733541741","155.924113644326",1.90681539066007,1.88107574636072,0.411397509316244,11.3723168023686,1.24154946952874,"SP","SP"
"F","6","MS","SL10","SL10_01","765","2022-09-22 09:00:00","2022-09-22 11:08:30","2.14166666666667","76.7211195704851","19.3819733541741","155.924113644326",1.84220416688184,1.83962496915866,0.0634411172987156,2.03306192943498,1.62546262028128,"MS","MS"
"F","7","MS","SL10","SL10_02","1086","2022-09-22 13:15:49","2022-09-22 16:28:00","3.20305555555556","62.1681907199412","26.201833473515","171.524595772211",2.22561057794218,2.206760424377,0.460774131654554,13.6590180113496,1.72218110041945,"SP","SP"
"F","7","MS","SL10","SL10_02","1086","2022-09-22 13:15:49","2022-09-22 16:28:00","3.20305555555556","62.1681907199412","26.201833473515","171.524595772211",1.51586423706119,1.4971625956082,0.116967509729591,3.88946459412781,1.29188255613125,"MS","MS"
"F","8","MS","SL10","SL10_03","746","2022-09-23 09:01:10","2022-09-23 11:24:20","2.38611111111111","92.7889184549609","31.2598209585121","179.55882031805",2.26536677313879,2.2644954354799,0.0671449206111647,2.50579817419197,2.09030347890452,"SP","SP"
"F","8","MS","SL10","SL10_03","746","2022-09-23 09:01:10","2022-09-23 11:24:20","2.38611111111111","92.7889184549609","31.2598209585121","179.55882031805",1.90338859878986,1.89884036516161,0.302717605066721,8.48457932395756,1.45867258820626,"MS","MS"
"F","9","MS","SL10","SL10_04","1813","2022-09-23 11:36:39","2022-09-23 16:51:50","5.25305555555556","129.398885802383","26.5103951226454","9.37774888480772",2.28198324761717,2.24525043177893,0.579866873863931,17.7419195657538,1.79225265235629,"MS","MS"
"F","10","MS","SL10","SL10_05","1821","2022-09-24 08:57:00","2022-09-24 14:18:19","5.35527777777778","151.341336610273","46.6357397389664","176.536982642224",2.82256206309778,2.82161361954107,0.188760581044754,8.75302245250432,2.37058968665186,"MS","MS"
"F","11","MS","SL10","SL10_06","370","2022-09-24 17:08:11","2022-09-24 18:09:40","1.02472222222222","41.1130839452078","19.1440913151331","180.229578487244",2.72897886783897,2.72686898593635,0.0492370792228935,2.87589439921047,2.58080434246238,"MS","MS"
"F","12","MS","SL10","SL10_07","768","2022-09-25 09:57:49","2022-09-25 12:15:00","2.28638888888889","67.920552334292","23.7523356689512","113.917379068652",2.87533025947858,2.87490747594376,0.0504622633851857,3.06834443622008,2.68344436220084,"MS","MS"
"M","13","MS","SL11","SL11_01","1312","2022-09-23 17:11:23","2022-09-23 21:31:23","4.33333333333333","101.714336411638","24.0740517899006","217.520245866321",1.75228314598181,1.76264495435479,0.0827012742377815,1.98865038243277,1.51788798420924,"SP","SP"
"M","13","MS","SL11","SL11_01","1312","2022-09-23 17:11:23","2022-09-23 21:31:23","4.33333333333333","101.714336411638","24.0740517899006","217.520245866321",1.79772962514969,1.65901801134961,1.36616834009408,23.5578583765112,1.43794719960522,"MS","MS"
"M","14","MS","SL11","SL11_02","771","2022-09-24 15:03:19","2022-09-24 17:21:40","2.30583333333333","75.8915428920069","29.1969385453492","194.13355928841",1.5261344497659,1.51739452257587,0.160582327954082,3.70194917345176,1.0846286701209,"SP","SP"
"M","14","MS","SL11","SL11_02","771","2022-09-24 15:03:19","2022-09-24 17:21:40","2.30583333333333","75.8915428920069","29.1969385453492","194.13355928841",2.42652950691361,2.3547989143844,1.19781996953998,29.4951887490747,1.78633111275597,"MS","MS"
